"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US85003","ZCTA5 85003","3912","276","1386","191","924","151","2526","261","12.1","2.6","6.7","3.8","3.7","3.4","16.8","3.7","5.6","2.0","2.5","1.7","1.7","2.0","6.9","3.0","13.0","2.7","10.6","5.1","7.0","4.5","15.6","4.1","9.7","3.0","4.4","2.8","3.4","2.8","11.4","4.0","14.3","3.4","6.9","4.5","6.3","4.9","17.7","4.6","12.0","2.8","12.3","5.0","11.5","5.5","12.3","3.9","7.6","2.3","9.0","4.9","6.3","3.3","6.1","2.3","12.4","3.3","21.4","6.7","25.3","8.7","7.2","3.2","5.8","1.7","12.8","4.8","16.7","6.1","1.9","1.3","7.5","2.2","13.3","4.9","18.2","7.2","4.3","1.9","42936","5308","89286","17101","122000","14917","32422","7681","75886","7383","117529","15744","N","N","51278","6317","31.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.6","(X)"
"8600000US85004","ZCTA5 85004","2753","228","608","130","323","94","2145","227","20.9","4.8","2.0","2.7","1.2","1.9","26.5","5.9","11.3","3.6","5.6","5.5","5.6","7.8","12.9","4.4","10.2","3.2","11.2","8.0","4.6","5.3","11.4","3.9","7.4","2.8","10.4","7.3","3.1","3.4","6.3","3.1","9.5","3.5","9.9","7.5","0.0","10.3","9.9","4.2","14.3","4.9","19.2","7.6","15.2","9.6","13.0","5.3","8.7","3.3","8.7","6.5","16.4","11.6","7.0","3.8","5.9","2.1","8.1","4.8","12.7","9.2","5.4","2.6","6.3","2.3","9.4","5.5","17.6","9.9","5.0","2.6","5.5","2.0","15.6","7.0","23.5","12.0","2.7","1.7","35739","9578","62000","12389","110250","55639","24158","8125","66790","11296","116830","28757","N","N","51374","10175","25.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.6","(X)"
"8600000US85006","ZCTA5 85006","9251","288","4961","335","2697","295","4290","302","12.6","2.2","11.7","3.0","3.0","2.4","17.5","3.8","9.2","1.8","9.0","2.6","6.5","3.0","9.0","2.4","14.1","2.2","18.4","3.4","16.5","4.6","11.2","3.1","13.1","2.5","13.0","3.3","15.1","4.6","12.7","3.7","15.6","2.9","13.6","3.2","13.1","3.3","15.1","4.4","14.6","2.4","12.3","2.8","15.9","4.3","15.3","3.7","6.1","1.5","6.9","2.4","9.5","3.3","5.5","2.2","10.0","2.1","9.9","2.7","11.9","3.8","9.9","3.2","3.5","1.3","4.0","2.3","6.7","4.1","2.2","1.0","1.3","0.8","1.1","0.9","1.8","1.7","1.5","1.4","35597","2292","33172","4431","45280","8306","34553","4422","50600","2870","49755","4138","N","N","48403","4483","39.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.3","(X)"
"8600000US85007","ZCTA5 85007","5157","236","2849","194","1580","169","2308","215","18.2","3.3","12.1","3.5","5.1","2.4","28.5","6.1","6.9","1.8","8.8","2.7","4.2","2.2","7.1","3.3","13.3","2.7","12.4","2.9","8.2","3.4","13.1","3.7","13.7","2.4","12.4","3.6","8.2","3.3","13.5","3.4","11.2","2.6","9.7","3.2","12.0","4.5","12.6","3.7","13.9","2.5","16.1","3.5","19.2","5.2","12.0","3.9","7.9","2.0","11.3","3.2","15.1","4.9","3.6","2.4","8.4","1.8","10.4","2.5","16.9","4.2","6.5","2.4","2.6","1.4","1.9","1.4","3.0","2.3","1.2","1.3","4.0","1.5","4.9","2.3","8.3","4.2","1.9","1.5","32964","2986","41146","5481","67115","8488","25781","3640","58574","9647","69033","15160","N","N","40412","5897","41.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","48.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.9","(X)"
"8600000US85008","ZCTA5 85008","21902","446","12559","517","6157","446","9343","482","7.2","1.2","6.8","1.6","2.5","1.0","10.3","2.0","6.9","1.2","7.1","1.7","5.0","2.2","7.7","1.8","14.6","1.7","16.9","2.6","15.3","3.1","12.7","2.3","15.2","1.9","15.4","2.7","11.8","3.2","17.0","2.6","18.0","1.5","14.9","2.3","16.7","3.3","19.5","2.7","20.3","1.7","19.2","2.6","23.7","3.7","18.8","2.4","8.0","1.4","9.2","1.7","11.7","2.9","6.1","1.7","7.3","1.1","8.1","2.0","9.5","2.6","5.9","1.3","2.0","0.7","2.0","1.1","2.9","1.5","1.6","1.0","0.6","0.3","0.4","0.3","0.9","0.6","0.5","0.3","39996","1864","38314","3114","48588","4360","36323","1718","49447","1657","49619","2423","58480","3456","44803","2375","29.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.3","(X)"
"8600000US85009","ZCTA5 85009","12338","366","8854","353","5043","354","3484","265","17.7","2.2","14.8","2.3","6.6","2.2","31.5","5.4","7.0","1.3","5.8","1.6","5.4","2.2","10.3","3.0","14.7","1.8","16.2","2.5","14.4","2.9","16.6","3.1","17.0","2.0","17.9","2.8","18.2","3.7","16.1","3.6","15.1","1.8","16.0","2.2","16.6","3.1","8.0","2.8","13.8","2.1","13.6","2.4","17.4","3.9","9.8","2.8","6.5","1.2","7.6","1.6","10.2","2.4","3.0","1.3","4.8","1.2","4.8","1.4","6.3","2.1","2.4","1.3","2.3","0.9","2.3","1.1","3.4","1.8","1.1","1.2","1.1","0.4","1.0","0.5","1.5","0.9","1.1","0.9","30760","1107","31479","1704","39716","4109","20161","2784","45055","3331","47131","4340","57309","6652","30638","3853","48.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","49.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.5","(X)"
"8600000US85012","ZCTA5 85012","3560","227","1466","208","1062","164","2094","226","8.7","2.5","2.7","2.2","2.2","2.2","13.4","4.1","7.6","3.0","4.9","5.2","0.8","1.1","9.6","3.7","6.2","2.1","2.2","2.1","1.1","1.3","8.9","3.3","4.4","2.0","2.5","2.4","0.9","1.5","5.6","3.5","9.6","3.8","6.7","4.4","2.0","2.3","11.7","4.5","19.4","3.8","16.2","7.0","13.7","7.3","21.3","4.7","11.9","3.6","13.7","5.6","15.3","6.8","11.0","4.5","10.3","2.4","9.5","3.7","12.3","4.8","10.8","3.7","7.9","2.9","12.9","5.3","15.3","6.6","4.0","2.9","14.0","3.2","28.6","5.9","36.5","7.4","3.8","2.5","67230","9152","105208","28292","153906","34898","51466","10138","101805","10880","154777","21058","N","N","63938","8869","29.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.5","(X)"
"8600000US85013","ZCTA5 85013","9903","341","4067","322","2678","244","5836","354","7.4","1.9","4.9","2.3","0.8","0.9","9.3","2.5","3.5","1.1","1.3","0.8","1.0","1.1","5.2","1.8","9.9","2.1","4.2","2.1","0.7","0.7","14.2","3.1","9.4","2.2","5.6","2.4","4.3","2.9","12.9","3.2","15.3","2.3","13.3","2.9","7.8","2.8","16.9","3.2","17.8","2.8","18.2","4.4","16.2","5.2","17.3","3.1","9.8","2.3","9.6","2.6","10.2","3.6","9.5","3.2","14.4","2.1","21.3","3.9","28.7","5.3","8.8","2.1","4.8","1.2","7.7","2.3","10.6","3.5","2.9","1.1","7.7","1.5","14.0","2.9","19.6","4.2","2.9","1.4","55585","6350","80521","11403","109363","4382","42965","2583","83906","6074","113044","9520","N","N","61829","7154","33.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)"
"8600000US85014","ZCTA5 85014","12867","419","4907","359","2772","291","7960","459","8.5","1.7","6.4","3.1","1.0","1.1","10.6","2.3","6.2","1.6","2.8","2.0","1.0","1.5","8.5","2.3","12.0","2.2","10.7","3.1","6.9","3.0","13.1","2.7","8.2","1.4","7.3","2.1","3.3","1.6","9.0","1.9","14.9","2.4","12.7","4.3","9.3","5.2","16.5","2.7","20.7","3.1","22.0","5.1","24.9","6.5","19.2","3.5","11.3","1.8","12.1","3.5","14.0","4.5","10.6","2.1","10.5","1.8","14.9","3.6","23.1","5.4","7.5","1.8","3.4","0.9","5.5","1.9","8.0","3.3","2.3","1.0","4.0","1.1","5.6","2.0","8.4","3.3","2.8","1.5","50107","4448","62826","7668","85485","12786","42759","3984","68171","4879","85032","10116","N","N","56561","5179","35.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.2","(X)"
